,p_val,mean_eff_size,abs_eff_size,low_eff_size,upper_eff_size,band
"('Fp1', 'T5')",0.00014000000000000001,-0.3904745920583723,0.3904745920583723,-0.48418959746796997,-0.2929255973621685,alpha2
"('Fp1', 'F3')",0.0,-0.38981546901988384,0.38981546901988384,-0.4820747524322626,-0.2936087779091457,gamma
"('F7', 'T3')",0.0,-0.38975258581132965,0.38975258581132965,-0.4797806515574023,-0.2875545047053107,beta2
"('F7', 'Fz')",4e-05,-0.3894007151539053,0.3894007151539053,-0.524942833297388,-0.2658001401923096,theta
"('T4', 'C4')",0.0,-0.38927282817789066,0.38927282817789066,-0.47554826280999635,-0.2783113899756783,alpha1
"('Fp2', 'F8')",0.00022000000000000003,-0.3885394166386189,0.3885394166386189,-0.5068677376671169,-0.29666710894897874,alpha1
"('Fp2', 'T4')",8e-05,-0.3876189302937329,0.3876189302937329,-0.5010185092008751,-0.27218301833263897,delta
"('O2', 'C3')",2e-05,0.3874437601583304,0.3874437601583304,0.25676721222367227,0.5008060061177282,alpha1
"('F7', 'F3')",4e-05,-0.3872824217196188,0.3872824217196188,-0.4927335364837242,-0.3175361932093602,gamma
"('F4', 'O2')",5.9999999999999995e-05,-0.3863600342112862,0.3863600342112862,-0.45859994872994897,-0.308838366777759,alpha2
"('F4', 'C4')",0.00011999999999999999,-0.3851788267830805,0.3851788267830805,-0.5062039675021152,-0.23298438151828135,beta2
"('Fz', 'F8')",0.0,-0.3840428084667803,0.3840428084667803,-0.5024541772990042,-0.2746357871229005,alpha1
"('F3', 'Fz')",0.0,-0.38335741329029294,0.38335741329029294,-0.4559695592498384,-0.30446048453696734,beta2
"('T3', 'C3')",0.00011999999999999999,-0.38284345564429617,0.38284345564429617,-0.4774305116924681,-0.2955942735556183,beta2
"('Fp2', 'O1')",0.00064,0.38239179794917666,0.38239179794917666,0.2263513624145434,0.5628420683449528,gamma
"('Fz', 'T4')",0.0,-0.3820993172825807,0.3820993172825807,-0.4498926278232491,-0.2928236501153371,alpha2
"('F3', 'T3')",0.0,-0.3817898050345728,0.3817898050345728,-0.5028148199946577,-0.24997879489807806,beta2
"('Fz', 'C4')",2e-05,-0.3814016716669292,0.3814016716669292,-0.45492153769512006,-0.31285441392913427,beta1
"('F4', 'Cz')",0.00022000000000000003,-0.38120178409929273,0.38120178409929273,-0.47414707806145606,-0.28171817345840494,beta2
"('Fp1', 'Cz')",0.00024000000000000003,-0.38079447997713334,0.38079447997713334,-0.46391913502055215,-0.3152760828696637,delta
"('O1', 'O2')",4e-05,0.3786575968191054,0.3786575968191054,0.2292375915645768,0.5414107387315756,theta
"('F3', 'F8')",0.0,-0.3784478327280233,0.3784478327280233,-0.49964780253712904,-0.25884672002091574,alpha1
"('O2', 'C3')",0.00136,0.37573304025299115,0.37573304025299115,0.2746427493139625,0.43938530140556425,beta1
"('T4', 'C4')",5.9999999999999995e-05,-0.3754500530367476,0.3754500530367476,-0.4974566770189824,-0.25006426200803034,theta
"('F3', 'Cz')",2e-05,-0.37514173759859554,0.37514173759859554,-0.5297712827034554,-0.29576566229616585,alpha1
"('Fp2', 'C4')",0.00014,-0.3746550693456867,0.3746550693456867,-0.4883788874338833,-0.24239948438831666,alpha1
"('F3', 'Fz')",4e-05,-0.3741554950377358,0.3741554950377358,-0.5324388750521808,-0.19688691970914787,theta
"('F7', 'Cz')",0.0001,-0.37380876027188414,0.37380876027188414,-0.5159413041232043,-0.27536835597641734,beta1
"('Fp1', 'C4')",0.0,-0.3734439919443316,0.3734439919443316,-0.460098184453544,-0.31395755415592064,beta1
